site	chl	fimp	fconn	sep	unseal
Bg	1.57	0.511595743	0.867303519	52.8	0.005821574
Br	1.63	0.68359635	0.972303723	37.8	0.000295345
Da	1.05	0.397642522	0.642636631	61.5	0.013312857
Do	1.08	0.525816939	0.829876583	43.8	0.012302183
Dt	0.93	0.432846792	0.588043142	62.5	0.017589067
Em	0.45	0.386073841	0	58.6	0.010000018
Fe	1.44	0.58958739	0.942199761	80.4	0.004386429
Ga	1.08	0.829084154	0.995458151	0	0
Ly	0.85	0.164235845	0	0	0.017359571
Mc	0.85	0.166720212	0	1.4	0.004718112
Mo	1	0.423028446	0.574676373	69.2	0.005751656
Ol	0.87	0.443382907	0.416587786	88.2	0.01506011
Pe	0.58	0.478838701	0.666484457	74.9	0.007291771
Sa	0.53	0.532238295	0.536612636	141	0.012958804
Sc	1.63	0.789275527	0.996702223	0	0
St	1.29	0.566866676	0.874259182	47.9	0.006726084
